,Link,FreqCount,Words
0,'https://dir.indiamart.com/impcat/notebook-making-machines.html', 48," '\'ims.page_begin_tm=new\'- \'a4production\'- \'priceautomation\'- \'quoteautomatic school\'- \'margin\'- \'machine\'- \'priceautomatic grade\'- \'k. engineersgardan city\'- \'quoteautomatic note\'- \'auto\'- \'clear filter\'- \'automaticweight\'- \'different material\'- \'product\'- \'industrial machinery\'- ""ims.pagetype =\'product""- \'pagination\'- \'automaticnotebook size\'- \'quote automatic note\''"
1,'https://en.wikipedia.org/wiki/Category:Netbook_manufacturers', 8," ""'origin'- 'machinery'- 'computersd'- 'computer'- 'timestamp'"""
2,'https://ohiostate.pressbooks.pub/graphicshistory/chapter/1-3-electronic-devices/', 120," ""'light bulb'- 'autodesk'- 'fairchild semiconductor'- 'computervision10.4'- 'visible light'- 'failure'- 'mechanism'- 'automatic electronic digital'- 'surface'- 'personal computer16.1'- 'metrolight'- 'pluginpath'- 'manual assembly'- 'electrical engineering'- 'first computer'- 'digital device'- 'introduction11.2 industrial light'- 'personal computerthe'- 'pressbookshypothesis'- 'electronic deviceschapter'- 'plugin'- '//www.computer-museum.org/collection/ti-icphoto.html http'- 'key'- 'electronic computer'- 'card'- 'carlson'- 'computational devices1.2'- 'own commercial computer'- 'machine'- 'omnibus computer'- 'semiconductor'- 'material'- 'final assembly'- 'autodesk/kinetix/discreetchapter'- 'electronic digital computer'- 'flight'- 'production'- 'original sketch'- 'final product'- 'productions6.7'- 'ti hand-held calculator'- 'eckert-mauchly computer'- 'device'- 'early digital computational devices1.3'- 'computer'- 'simulationflight'- 'plants19.7 data-driven imagery19.8'- 'valve'- 'first digital computer'- 'engineering'- 'calculator'- 'ibm card'- 'artistscomputer'"""
3,'https://en.wikipedia.org/wiki/Computer#History', 783," ""'title=computer'- 'federico faggin'- 'crowell-collier press'- 'microcomputer'- '16-bit microcomputer'- 'computersconsumer'- 'mechanism'- 'remote'- 'failure'- 'analytical engine'- 'available general-purpose computer'- 'combinational logic sequential logic'- 'timestamp'- 'human computer'- 'engineer'- 'first mechanical computer'- 'modern electronic computer'- 'programmable digital electronic computer'- 'supercomputer'- 'magnetic drum'- 'simple device'- 'own computer'- 'unsourced material'- 'key component'- 'flight'- 'punched card'- 'complex machine'- 'individual computer'- 'light'- 'assembly language'- 'device-and-lead structure'- 'theater'- 'short computer'- 'electronic machine'- 'computerized airline'- 'calculator'- 'light pen mouse'- 'begin'- 'laptop computer'- 'automatic general-purpose device'- 'teleprinter'- 'instant messaging'- '8-bit microcomputer'- 'usable computer'- 'computer/notebook'- 'american computer'- 'british computer'- 'hardware-related electrical engineering'- 'fuat sezgin'- 'digital equipment'- 'isbn 978-0-902505-01-8. light'- 'computer-aided design'- 'origin'- 'personal electronic computer'- 'keyboard'- 'general-purpose computer'- 'external device'- 'engin'- 'material form'- 'programmable computer'- 'semiconductor'- 'electronic equipment'- 'basic computer'- 'electronic digital computer'- 'same computer'- 'magnetic core'- 'cryptography'- 'human–computer'- 'cellular automaton'- 'large computer'- 'press'- 'typical personal computer'- '32-bit microcomputer'- 'hopper'- 'stored-program computer'- 'i 4-bit microcomputer'- 'assembly'- 'instrument'- 'synchronous logic asynchronous logic finite-state machine'- 'portable computer'- 'printer pc'- 'spintronics-based computer'- 'new device'- 'sophisticated computer'- 'other computer'- 'software-related computer'- 'first electronic programmable computer'- 'digital computer'- 'mechanical computer'- 'combination'- 'english mechanical engineer'- 'optical computer'- 'gear'- 'vtebasic computer'- 'sound card'- 'different computer'- 'crc press'- 'login'- 'simulator'- 'manual instrument'- 'actual first computer'- 'peripheral equipment'- 'machine'- 'manual resetting'- 'first electronic computer'- 'material'- 'third tide-predicting machine'- 'automatic digital computer'- 'quantum computer'- 'experimental equipment'- 'electronic stored-program digital computer'- 'printer'- 'device'- 'automation'- 'computer'- 'electronic instrumentation'- 'electronic engineering'- 'other machine'- 'fairchild semiconductor'- 'universal computer'- 'tide-predicting machine'- 'minicomputer'- 'automatic electronic digital'- 'typical modern computer'- 'optical engineering'- 'drive'- 'first stored-program computer'- 'chemical computer'- 'german engineer'- 'ultimate mechanical computer'- 'modern computer'- 'key'- 'card'- 'heater'- 'engine'- 'female computer'- 'keyboard image'- 'personal computer'- 'computer-aided manufacturing'- 'peripheral device'- 'few button'- '64-bit microcomputer'- 'wearable computer'- 'electronic calculator'- 'electronic product'- 'compatible computer'- 'automaton'- 'little engine'- 'engineering'- 'so-called computer'- 'guardian'- 'i computer'- 'button'- 'motorola'"""
4,'https://www.uncommongoods.com/fun/tech-electronics/tech-electronics', 308," '\'minfilter\'- \'ab_setup.freshnessdate\'- \'productimpressionsua.push\'- \'typeof productimpressionsua\'- \'displayactivesortandfilter\'- \'ab_setup.abdata =\'- \'auto\'- \'ab_setup.freshnessdate =\'- \'margin-left\'- \'maxfilter2\'- \'pricefilter2\'- \'ab_setup.abdata\'- \'sound-activated light\'- \'ab_setup.maxage\'- ""style=\'margin:0""- ""style=\'margin""- ""\'impression""- \'productimpressionsua\'- \'little sun solar light\'- ""span style=\'margin:0""- \'ab_setup.init\'- \'minfilter2\'- \'overrideexpid\'- \'pricefiltergo\'- \'magnetic bike\'- \'maxfilter\'- \'filter\'- \'artiphon multi-instrument ₹27612.00\'- \'ab_setup.waitfordataload\'- \'charger\'- \'light clock\'- \'recorder\'- \'productgrid.classlist.add\'- \'magnetic balance\'- \'islocalstoragenamesupported =\'- \'.flexfilter\'- \'productimpressionsua=\'- \'automatic handbag\'- \'data-filtername\'- \'smart lighting\'- ""\'firegtmloginheader""- \'overrideexpid =\'- \'productimpressionsua.length\'- \'product\'- \'.filtersortoption\'- \'smart key\'- \'pricefilter\'- \'device\'- \'pricefiltergo2\'- \'superchecksortfilter\'- ""\'aatesttrigger""- ""\'userloginstatus""- \'button\'- \'eyjhbgcioijiuzi1niisinr5cci6ikpxvcj9.eyjtzxjjaelkijoimzuymsisimnyzwf0zwreyxrlijoimjaxoc0wns0ym1qymtoynzowos4zmthaiiwiawf0ijoxnti3mtewodi5fq.tfavcvjimlxv0uj_abicb-wovjwjea-mkzubjg8i14u\''"
5,'https://en.wikipedia.org/wiki/Laptop#History', 480," ""'adapter'- 'limited drive'- 'original etymology'- 'personal supercomputer'- 'mechanism'- 'failure'- 'low production'- 'luggable computer'- 'ultraportable computing'- 'timestamp'- 'safeguarding'- 'electrical equipment'- 'support'- 'charger'- 'terminal calculator'- 'portable microcomputer'- 'unsourced material'- 'stylus/digital pen'- 'annualized failure'- 'gizmodo'- 'traditional laptop computer'- 'external drive'- 'near-ubiquitous wi-fi support'- 'gadgettrack'- 'quanta computer'- 'flight'- 'productivity'- 'solid-state drive'- 'laptops hard drive'- 'equipment'- 'personalcomputerstationary workstation'- 'jfan'- 'calculator'- 'portable personal computer'- 'microsoft surface'- 'laptop computer'- 'illuminated keyboard'- 'external keyboard'- 'pure productivity'- 'surface'- 'ibm product'- 'computersmicrocomputer'- 'laptop keyboard'- 'oldcomputers.net'- 'hard drive'- 'pci express'- 'entire assembly'- 'satellite'- 'pressure'- 'origin'- 'keyboard'- 'driver'- 'separate device'- '2.5-inch drive'- 'special computer'- 'laptops support'- 'secondary device'- 'portal laptop computer'- 'electronic equipment'- 'preventative maintenance'- 'sd card'- 'daylight'- 'led lighting'- 'press'- 'traditional static computer'- 'express'- 'mobile computer'- 'keys'- 'setup'- 'thermal printer'- 'single-board computer'- 'portable computer'- 'calculator-size printer'- 'cd/cdr/dvd drive'- 'compressed air'- 'sdd drive'- 'easy release'- 'keyboard/mouse'- 'filter'- 'expresscard slot'- 'alphanumeric keyboard'- 'basic keyboard'- 'ibm personal computer'- 'hc-20-computer museum'- 'extensive disassembly'- 'login'- 'machine'- 'productive work'- 'original manufacturer'- 'www.theguardian.com'- 'drive corporate adoption'- 'public safety'- 'single 2.5-inch drive'- 'backlight power'- 'reassembly'- 'solar charging'- 'device'- 'original design'- 'computer'- 'first laptop computer'- 'support.apple.com'- 'ac adapter'- 'human reproduction'- 'open-source computer'- 'minicomputer'- 'second hard drive'- 'flat keyboard'- 'fan'- 'sensor'- 'drive'- 'available portable computer'- 'optical drive'- 'charging'- 'detachable keyboard'- 'key'- 'reset'- 'card'- 'personal computer'- 'disc drive'- 'discharging'- 'discharging time'- 'production'- 'passive device'- 'trigger'- 'compact fan'- 'associated press'- 'engineering'- 'large device'- 'button'- 'motorola'"""
6,'https://www.delta-net.com/health-and-safety/display-screen-equipment/faqs/what-are-the-health-risks-of-using-display-screen-equipment', 51," ""'display screen equipment'- 'minutescareersmeet'- 'equipment'- 'newssupporttestimonialst'- 'keyboard'- 'contenttestimonialssupportcustomer support'- 'safety'- 'screen equipment'- 'healthcare'- 'care'"""
7,'https://dir.indiamart.com/impcat/screen-printing-equipment.html', 45," '\'card\'- \'ims.page_begin_tm=new\'- \'automaticvoltage\'- \'screen printer\'- \'margin\'- \'equipment\'- \'machinery\'- \'machine\'- \'automatic screen\'- \'auto\'- \'press\'- \'automatic flat bed\'- \'priceautomatic grade\'- \'material\'- ""ims.pagetype =\'product""- \'pagination\'- \'engineersnarolgam\''"
8,'https://en.wikipedia.org/wiki/Laptop', 480," ""'adapter'- 'limited drive'- 'original etymology'- 'personal supercomputer'- 'mechanism'- 'failure'- 'low production'- 'luggable computer'- 'ultraportable computing'- 'timestamp'- 'safeguarding'- 'electrical equipment'- 'support'- 'charger'- 'terminal calculator'- 'portable microcomputer'- 'unsourced material'- 'stylus/digital pen'- 'annualized failure'- 'gizmodo'- 'traditional laptop computer'- 'external drive'- 'near-ubiquitous wi-fi support'- 'gadgettrack'- 'quanta computer'- 'flight'- 'productivity'- 'solid-state drive'- 'laptops hard drive'- 'equipment'- 'personalcomputerstationary workstation'- 'jfan'- 'calculator'- 'portable personal computer'- 'microsoft surface'- 'laptop computer'- 'illuminated keyboard'- 'external keyboard'- 'pure productivity'- 'surface'- 'ibm product'- 'computersmicrocomputer'- 'laptop keyboard'- 'oldcomputers.net'- 'hard drive'- 'pci express'- 'entire assembly'- 'satellite'- 'pressure'- 'origin'- 'keyboard'- 'driver'- 'separate device'- '2.5-inch drive'- 'special computer'- 'laptops support'- 'secondary device'- 'portal laptop computer'- 'electronic equipment'- 'preventative maintenance'- 'sd card'- 'daylight'- 'led lighting'- 'press'- 'traditional static computer'- 'express'- 'mobile computer'- 'keys'- 'setup'- 'thermal printer'- 'single-board computer'- 'portable computer'- 'calculator-size printer'- 'cd/cdr/dvd drive'- 'compressed air'- 'sdd drive'- 'easy release'- 'keyboard/mouse'- 'filter'- 'expresscard slot'- 'alphanumeric keyboard'- 'basic keyboard'- 'ibm personal computer'- 'hc-20-computer museum'- 'extensive disassembly'- 'login'- 'machine'- 'productive work'- 'original manufacturer'- 'www.theguardian.com'- 'drive corporate adoption'- 'public safety'- 'single 2.5-inch drive'- 'backlight power'- 'reassembly'- 'solar charging'- 'device'- 'original design'- 'computer'- 'first laptop computer'- 'support.apple.com'- 'ac adapter'- 'human reproduction'- 'open-source computer'- 'minicomputer'- 'second hard drive'- 'flat keyboard'- 'fan'- 'sensor'- 'drive'- 'available portable computer'- 'optical drive'- 'charging'- 'detachable keyboard'- 'key'- 'reset'- 'card'- 'personal computer'- 'disc drive'- 'discharging'- 'discharging time'- 'production'- 'passive device'- 'trigger'- 'compact fan'- 'associated press'- 'engineering'- 'large device'- 'button'- 'motorola'"""
9,'https://en.wikipedia.org/wiki/Machine_code', 94," ""'library static machine'- 'different computer'- 'w65c816s single-board computer'- 'assembly'- 'engine'- 'timestamp'- 'machine'- 'p-code machine'- 'dataflow declarative domain-specific dynamic esoteric event-driven extensible functional imperative logic'- 'machine-readable form'- 'virtual machine'- 'computer'- 'executable machine'- 'constant expression'- 'original work'- 'interpreted machine'- 'same machine'- 'title=machine_code'- 'origin'- 'common machine'- 'debugging'"""
