,Link,FreqCount,Words
10,'https://en.wikipedia.org/wiki/Computer#Hardware', 783," ""'title=computer'- 'federico faggin'- 'crowell-collier press'- 'microcomputer'- '16-bit microcomputer'- 'computersconsumer'- 'mechanism'- 'remote'- 'failure'- 'analytical engine'- 'available general-purpose computer'- 'combinational logic sequential logic'- 'timestamp'- 'human computer'- 'engineer'- 'first mechanical computer'- 'modern electronic computer'- 'programmable digital electronic computer'- 'supercomputer'- 'magnetic drum'- 'simple device'- 'own computer'- 'unsourced material'- 'key component'- 'flight'- 'punched card'- 'complex machine'- 'individual computer'- 'light'- 'assembly language'- 'device-and-lead structure'- 'theater'- 'short computer'- 'electronic machine'- 'computerized airline'- 'calculator'- 'light pen mouse'- 'begin'- 'laptop computer'- 'automatic general-purpose device'- 'teleprinter'- 'instant messaging'- '8-bit microcomputer'- 'usable computer'- 'computer/notebook'- 'american computer'- 'british computer'- 'hardware-related electrical engineering'- 'fuat sezgin'- 'digital equipment'- 'isbn 978-0-902505-01-8. light'- 'computer-aided design'- 'origin'- 'personal electronic computer'- 'keyboard'- 'general-purpose computer'- 'external device'- 'engin'- 'material form'- 'programmable computer'- 'semiconductor'- 'electronic equipment'- 'basic computer'- 'electronic digital computer'- 'same computer'- 'magnetic core'- 'cryptography'- 'human–computer'- 'cellular automaton'- 'large computer'- 'press'- 'typical personal computer'- '32-bit microcomputer'- 'hopper'- 'stored-program computer'- 'i 4-bit microcomputer'- 'assembly'- 'instrument'- 'synchronous logic asynchronous logic finite-state machine'- 'portable computer'- 'printer pc'- 'spintronics-based computer'- 'new device'- 'sophisticated computer'- 'other computer'- 'software-related computer'- 'first electronic programmable computer'- 'digital computer'- 'mechanical computer'- 'combination'- 'english mechanical engineer'- 'optical computer'- 'gear'- 'vtebasic computer'- 'sound card'- 'different computer'- 'crc press'- 'login'- 'simulator'- 'manual instrument'- 'actual first computer'- 'peripheral equipment'- 'machine'- 'manual resetting'- 'first electronic computer'- 'material'- 'third tide-predicting machine'- 'automatic digital computer'- 'quantum computer'- 'experimental equipment'- 'electronic stored-program digital computer'- 'printer'- 'device'- 'automation'- 'computer'- 'electronic instrumentation'- 'electronic engineering'- 'other machine'- 'fairchild semiconductor'- 'universal computer'- 'tide-predicting machine'- 'minicomputer'- 'automatic electronic digital'- 'typical modern computer'- 'optical engineering'- 'drive'- 'first stored-program computer'- 'chemical computer'- 'german engineer'- 'ultimate mechanical computer'- 'modern computer'- 'key'- 'card'- 'heater'- 'engine'- 'female computer'- 'keyboard image'- 'personal computer'- 'computer-aided manufacturing'- 'peripheral device'- 'few button'- '64-bit microcomputer'- 'wearable computer'- 'electronic calculator'- 'electronic product'- 'compatible computer'- 'automaton'- 'little engine'- 'engineering'- 'so-called computer'- 'guardian'- 'i computer'- 'button'- 'motorola'"""
11,'https://en.wikipedia.org/wiki/Mechanical_calculator', 642," ""'10-key electronic calculator'- 'few simultaneous carry'- 'reliable machine'- 'automatic mechanical calculator'- 'release'- 'mechanism'- 'analytical engine'- 'stylus'- 'only mechanical calculator'- 'timestamp'- 'title=mechanical_calculator'- 'history-computer.com'- 'inadequate carry'- 'dalton adding-listing machine'- 'mechanical product'- 'moveable carriage'- 'first successful automatic calculator'- 'small carry'- 'new engine'- 'first ten-key printing'- 'ten-key serial entry'- 'automatic lathe'- 'true commercial production'- 'calculator'- 'column-clear key'- 'sewing machine'- 'carriage'- 'pull'- 'spur-gear differential'- 'original odhner'- 'arithmetic machine'- 'driveshaft'- 'surface'- 'new machine'- 'origin'- 'keyboard'- 'comptometer-type calculator'- 'ieee computer'- 'cylindrical device'- 'basic mechanisms'- 'added mechanism'- 'arno press'- 'first mechanical calculator'- 'second key-driven machine'- 'successful machine'- 'internal mechanical product'- 'subsequent carry'- 'press'- 'valve'- 'famous weighted sautoir'- 'tube/valve computer'- 'mechanical calculatorsoffice'- 'assembly'- 'keys'- 'instrument'- 'facit calculator'- 'beginning'- 'machinery'- 'mechanical computer'- 'ingenious anti-overshoot mechanism'- 'gear'- 'mechanical device'- 'automatic calculating'- 'careful examination'- 'same combination'- 'first 10-key computing'- 'machine'- 'key keyboard'- 'first machine'- 'leibniz machine'- 'appropriate drive'- 'first automatic calculator'- 'triple machine'- 'printer'- 'ten-key auxiliary keyboard'- 'device'- 'simple electronic calculator'- 'carry'- 'computer'- 'swinging'- '10-key keyboard'- 'gearbox'- 'all-electronic calculator'- 'first programmable calculator'- 'gear-cutting industry'- 'stepped-gear calculating'- 'first computer'- 'wide carry'- 'drive'- 'different basic mechanisms'- 'florin-stefan'- '0-405-04730-4. ginsburg'- 'modern computer'- 'basic mechanism'- 'key'- 'card'- 'sophisticated carry'- 'similar device'- 'engine'- 'mechanical calculator'- 'basic calculator'- 'effective carry'- 'programmable mechanical calculator'- 'movable carriage'- 'electronic calculator'- 'mutilated gear'- 'production'- 'gearing'- 'long lost mechanical calculator'- 'common drive'- 'little engine'- 'engineering'- 'arithmetical machine'"""
12,'http://time.com/4913866/best-student-gadgets/', 55," ""'light'- 'ize flashflight'- 'device'- 'backlit keyboard'- 'gadget-saver'- 'press'- 'safeguarding'- 'good keyboard'- 'remote control'- 'computer'- 'keyboard'- 'charger'- 'heavy lifting'- 'flashflight'- 'autofocus'- 'printer'- '24-megapixel sensor'"""
13,'https://www.shutterstock.com/image-photo/disassembly-netbook-elimination-breakdowns-repair-equipment-1019009740', 43," ""'originalurl'- 'android device'- 'equipment'- 'original image'- 'data-lightboximageid='- 'screwdriver'- 'disassembly'- 'press'- 'product'- 'engineering'- 'filter'- 'analyze computer'- 'btn btn-icon i-lightbox-label js_lightbox_add'- 'support'- 'production'- 'button'- 'gadget'"""
14,'https://www.thieme.eu/en/screen-printing-', 23," ""'sensor'- 'machinery'- 'rim automotive rim'- 'imprint'- 'press'- 'semi-conductor'- 'yahoo.widget.containereffect.fade'"""
15,'https://en.wikipedia.org/wiki/One_Laptop_per_Child', 172," ""'madagascar'- 'in-kind support'- 'remote assessment'- 'release'- 'low-cost machine'- 'olpc xo-1 original design'- 'patented device'- 'drive'- 'timestamp'- 'laptop drive'- 'hard drive'- 'america support'- 'ongoing support'- 'engineer'- 'remote cambodian school'- 'xo computer'- 'taiwanese computer'- 'origin'- 'keyboard'- 'support'- 'many other wireless device'- 'key'- 'worldchanging.com'- 'turkey'- 'unlocking key'- 'engine'- 'machine'- 'actual production'- 'personal computer'- 'decoder'- 'product'- 'on-the-ground support'- 'engadget.com'- 'production'- 'electronic product'- 'light'- 'touch-screen computer'- 'device'- 'equipment'- 'low-power laptop computer'- 'technical support'- 'inexpensive laptop computer'- 'caribe'- 'associated press'- 'computer'- 'pornographic material'- 'express'- 'belonging'- 'engineering'- 'cryptographic lease'"""
16,'https://www.digitaltrends.com/computing/experts-question-the-future-of-netbook-pcs/', 100," ""'original series'- 'blue light'- 'fun product'- 'theater'- 'machinery'- 'original purpose'- 'machine'- 'setup'- 'compact computer'- 'licensekey'- 'product'- 'computer'- 'videos original series'- 'support'- 'key'- 'whole machine'"""
17,'https://en.wikipedia.org/wiki/Laptop#Hardware', 480," ""'adapter'- 'limited drive'- 'original etymology'- 'personal supercomputer'- 'mechanism'- 'failure'- 'low production'- 'luggable computer'- 'ultraportable computing'- 'timestamp'- 'safeguarding'- 'electrical equipment'- 'support'- 'charger'- 'terminal calculator'- 'portable microcomputer'- 'unsourced material'- 'stylus/digital pen'- 'annualized failure'- 'gizmodo'- 'traditional laptop computer'- 'external drive'- 'near-ubiquitous wi-fi support'- 'gadgettrack'- 'quanta computer'- 'flight'- 'productivity'- 'solid-state drive'- 'laptops hard drive'- 'equipment'- 'personalcomputerstationary workstation'- 'jfan'- 'calculator'- 'portable personal computer'- 'microsoft surface'- 'laptop computer'- 'illuminated keyboard'- 'external keyboard'- 'pure productivity'- 'surface'- 'ibm product'- 'computersmicrocomputer'- 'laptop keyboard'- 'oldcomputers.net'- 'hard drive'- 'pci express'- 'entire assembly'- 'satellite'- 'pressure'- 'origin'- 'keyboard'- 'driver'- 'separate device'- '2.5-inch drive'- 'special computer'- 'laptops support'- 'secondary device'- 'portal laptop computer'- 'electronic equipment'- 'preventative maintenance'- 'sd card'- 'daylight'- 'led lighting'- 'press'- 'traditional static computer'- 'express'- 'mobile computer'- 'keys'- 'setup'- 'thermal printer'- 'single-board computer'- 'portable computer'- 'calculator-size printer'- 'cd/cdr/dvd drive'- 'compressed air'- 'sdd drive'- 'easy release'- 'keyboard/mouse'- 'filter'- 'expresscard slot'- 'alphanumeric keyboard'- 'basic keyboard'- 'ibm personal computer'- 'hc-20-computer museum'- 'extensive disassembly'- 'login'- 'machine'- 'productive work'- 'original manufacturer'- 'www.theguardian.com'- 'drive corporate adoption'- 'public safety'- 'single 2.5-inch drive'- 'backlight power'- 'reassembly'- 'solar charging'- 'device'- 'original design'- 'computer'- 'first laptop computer'- 'support.apple.com'- 'ac adapter'- 'human reproduction'- 'open-source computer'- 'minicomputer'- 'second hard drive'- 'flat keyboard'- 'fan'- 'sensor'- 'drive'- 'available portable computer'- 'optical drive'- 'charging'- 'detachable keyboard'- 'key'- 'reset'- 'card'- 'personal computer'- 'disc drive'- 'discharging'- 'discharging time'- 'production'- 'passive device'- 'trigger'- 'compact fan'- 'associated press'- 'engineering'- 'large device'- 'button'- 'motorola'"""
18,'http://ecomputernotes.com/fundamental/introduction-to-computer/netbook', 76," ""'data-ad-layout-key='- 'basic computernetworkingc'- 'fundamental computer'- 'auto'- 'standard hard drive'- 'minicomputer'- 'mainframe computer'- 'surface'- 'analytical engine'- 'autonomy'- 'first computer'- 'drive'- 'popular computer'- 'hard drive'- 'keyboard'- 'charger'- 'supercomputer'- 'card'- 'homecomputer'- 'analog computer'- 'pagescomputer'- 'semiconductor'- 'personal computer'- 'standard equipment'- 'external drive'- 'basic computer'- 'fundamentalcomputer'- 'convenience'- 'programmingcomputer'- 'equipment'- 'original bluetooth'- 'computer'- 'systemdbmscomputer termscomputer'- 'maximum autonomy'- 'laptop computer'"""
19,'https://en.wikipedia.org/wiki/List_of_laptop_brands_and_manufacturers', 39," ""'turkey'- 'asustek computer'- 'tongfang'- 'timestamp'- 'digital equipment'- 'margin'- 'hard drive'- 'turkey vestel'- '– microsoft surface'- 'defunct computer'- 'personal computer'- 'original design'- 'satellite qosmio'- 'product'- 'computer'- 'taiwan-based original design'- 'origin'- 'gizmodo brasil'- 'production'"""
20,'https://www.shutterstock.com/image-vector/electronic-devices-smartphone-computer-tablet-netbook-519560563', 39," ""'originalurl'- 'android device'- 'original image'- 'data-lightboximageid='- 'button'- 'press'- 'computer'- 'product'- 'filter'- 'btn btn-icon i-lightbox-label js_lightbox_add'- 'support'- 'production'- 'touch device'"""
21,'https://www.shutterstock.com/image-vector/electronic-devices-smartphone-computer-tablet-netbook-211766014', 39," ""'originalurl'- 'android device'- 'original image'- 'data-lightboximageid='- 'press'- 'blue device'- 'computer'- 'product'- 'filter'- 'btn btn-icon i-lightbox-label js_lightbox_add'- 'support'- 'production'- 'button'"""
22,'https://www.market-inspector.co.uk/blog/2017/01/10-basic-office-equipment-for-starting-a-business', 23," ""'equipment'- 'machine'- 'chosen product'- 'shredder'- 'embedcodeidbuttonclick'"""
23,'https://www.azinor.pt/en/computer-consumables-and-equipment/', 9," ""'equipment'- 'computer'"""
24,'https://www.quora.com/Why-is-a-computer-considered-an-electronic-and-not-electrical-device', 612," ""'electrical device'- 'should_cardify'- 'retryuploadingbutton'- 'electronic device.1.2k'- 'formkey'- 'max-device-width:360px'- 'auto'- 'electrical engineer'- 'client_side_batched_logging_interval'- 'microcomputer'- 'electronic device.this'- 'margin-left'- 'originallyansweredbanner'- 'margin:0 auto'- 'margin-top:8px'- 'styled.ui_button'- 'a.action_button'- 'size_regular .ui_button_icon'- '.submit_button'- '.ui_button'- 'motor'- '.results_wrapper'- 'fan'- 'flatstyle.ui_button'- 'electrical engineering'- 'postkey'- 'electrical device.computer'- 'margin'- 'electronic device.3.4k'- 'videoindicatorsvg'- 'hiragino'- 'supply.electric device'- 'should_animate_on_press'- 'washing machine'- 'engineer'- 'ptvyefosjlsjutoydqio'- 'conventional lightbulb'- 'computer.i'- '.computer'- 'reauthwrapper'- 'conversionlogging'- '-webkit-tap-highlight-color'- 'electronic device'- 'triggerpercent'- 'login'- 'googleautologinweb'- '.ui_qtext_image_wrapper canvas'- 'record_impression'- 'impressionhash'- 'mere electric device'- 'pauseuploadingbutton'- 'semiconductor'- '//www.quora.com/why-is-a-computer-considered-an-electronic-and-not-electrical-device'- 'electromagnetic device'- 'un computer'- 'in_product_answer_promotion'- 'electric device'- 'max-device-width:480px'- 'margin-top:16px'- 'from_hovercard'- '.action_button'- 'margin:0'- 'view_tracking_key'- 'min-device-pixel-ratio:1.5'- 'size_regular.ui_button'- 'computerswhy'- '.answerwikiarea h3 a.action_button'- 'device'- '.resistance_wrapper'- 'different device'- 'should_autofocus'- 'dialogsignupformwrapper'- 'margin-left:10px'- 'press'- 'resumeuploadingbutton'- 'h3 a.action_button'- 'computer'- 'dvd drive'- 'electrical devices.in'- '.contentwrapper'- 'keyweepuapixel'- 'min-device-width:320px'- 'shopper'- 'button'- 'stripepublishablekey'"""
